,State,Year,Categories,Gender,Total
1221,Daman & Diu,2007,Causes Not known,Male,6
1222,Daman & Diu,2007,Relation Troubles,Female,1
1223,Daman & Diu,2008,Causes Not known,Female,3
1224,Daman & Diu,2008,Causes Not known,Male,9
1225,Daman & Diu,2008,Financial issues,Male,1
1226,Daman & Diu,2008,Relation Troubles,Female,1
1227,Daman & Diu,2008,Relation Troubles,Male,1
1228,Daman & Diu,2008,Sickness,Female,1
1229,Daman & Diu,2008,Sickness,Male,3
1230,Daman & Diu,2009,Causes Not known,Female,6
1231,Daman & Diu,2009,Causes Not known,Male,9
1232,Daman & Diu,2009,Others Causes,Male,3
1233,Daman & Diu,2009,Relation Troubles,Female,2
1234,Daman & Diu,2009,Relation Troubles,Male,1
1235,Daman & Diu,2009,Sickness,Male,2
1236,Daman & Diu,2010,Causes Not known,Female,7
1237,Daman & Diu,2010,Causes Not known,Male,13
1238,Daman & Diu,2010,Others Causes,Female,2
1239,Daman & Diu,2010,Pressures of Society,Male,1
1240,Daman & Diu,2010,Relation Troubles,Female,1
1241,Daman & Diu,2010,Relation Troubles,Male,2
1242,Daman & Diu,2010,Sickness,Female,2
1243,Daman & Diu,2010,Sickness,Male,3
1244,Daman & Diu,2011,Causes Not known,Female,12
1245,Daman & Diu,2011,Causes Not known,Male,12
1246,Daman & Diu,2011,Others Causes,Female,1
1247,Daman & Diu,2011,Others Causes,Male,4
1248,Daman & Diu,2011,Relation Troubles,Female,2
1249,Daman & Diu,2011,Relation Troubles,Male,2
1250,Daman & Diu,2012,Causes Not known,Female,7
1251,Daman & Diu,2012,Causes Not known,Male,6
1252,Daman & Diu,2012,Others Causes,Female,3
1253,Daman & Diu,2012,Others Causes,Male,16
1254,Daman & Diu,2012,Pressures of Society,Male,1
1255,Daman & Diu,2012,Relation Troubles,Female,1
1256,Daman & Diu,2012,Sickness,Male,2
1257,Delhi,2001,Causes Not known,Female,183
1258,Delhi,2001,Causes Not known,Male,275
1259,Delhi,2001,Drug Abuse/Addiction,Female,1
1260,Delhi,2001,Drug Abuse/Addiction,Male,17
1261,Delhi,2001,Financial issues,Female,42
1262,Delhi,2001,Financial issues,Male,122
1263,Delhi,2001,Others Causes,Female,14
1264,Delhi,2001,Others Causes,Male,38
1265,Delhi,2001,Physical Abuse (Rape/Incest Etc.),Female,4
1266,Delhi,2001,Pressures of Society,Female,12
1267,Delhi,2001,Pressures of Society,Male,19
1268,Delhi,2001,Relation Troubles,Female,220
1269,Delhi,2001,Relation Troubles,Male,198
1270,Delhi,2001,Sickness,Female,33
1271,Delhi,2001,Sickness,Male,61
1272,Delhi,2002,Causes Not known,Female,97
1273,Delhi,2002,Causes Not known,Male,194
1274,Delhi,2002,Drug Abuse/Addiction,Female,1
1275,Delhi,2002,Drug Abuse/Addiction,Male,23
1276,Delhi,2002,Financial issues,Female,10
1277,Delhi,2002,Financial issues,Male,74
1278,Delhi,2002,Others Causes,Female,21
1279,Delhi,2002,Others Causes,Male,24
1280,Delhi,2002,Physical Abuse (Rape/Incest Etc.),Female,4
1281,Delhi,2002,Pressures of Society,Female,21
1282,Delhi,2002,Pressures of Society,Male,22
1283,Delhi,2002,Relation Troubles,Female,228
1284,Delhi,2002,Relation Troubles,Male,242
1285,Delhi,2002,Sickness,Female,28
1286,Delhi,2002,Sickness,Male,64
1287,Delhi,2003,Causes Not known,Female,118
1288,Delhi,2003,Causes Not known,Male,213
1289,Delhi,2003,Drug Abuse/Addiction,Male,18
1290,Delhi,2003,Financial issues,Female,10
1291,Delhi,2003,Financial issues,Male,60
1292,Delhi,2003,Others Causes,Female,41
1293,Delhi,2003,Others Causes,Male,113
1294,Delhi,2003,Physical Abuse (Rape/Incest Etc.),Female,3
1295,Delhi,2003,Physical Abuse (Rape/Incest Etc.),Male,1
1296,Delhi,2003,Pressures of Society,Female,20
1297,Delhi,2003,Pressures of Society,Male,19
1298,Delhi,2003,Relation Troubles,Female,187
1299,Delhi,2003,Relation Troubles,Male,237
1300,Delhi,2003,Sickness,Female,33
1301,Delhi,2003,Sickness,Male,80
1302,Delhi,2004,Causes Not known,Female,109
1303,Delhi,2004,Causes Not known,Male,264
1304,Delhi,2004,Drug Abuse/Addiction,Female,2
1305,Delhi,2004,Drug Abuse/Addiction,Male,18
1306,Delhi,2004,Financial issues,Female,15
1307,Delhi,2004,Financial issues,Male,82
1308,Delhi,2004,Others Causes,Female,48
1309,Delhi,2004,Others Causes,Male,119
1310,Delhi,2004,Physical Abuse (Rape/Incest Etc.),Female,2
1311,Delhi,2004,Pressures of Society,Female,23
1312,Delhi,2004,Pressures of Society,Male,36
1313,Delhi,2004,Relation Troubles,Female,208
1314,Delhi,2004,Relation Troubles,Male,198
1315,Delhi,2004,Sickness,Female,50
1316,Delhi,2004,Sickness,Male,82
1317,Delhi,2005,Causes Not known,Female,137
1318,Delhi,2005,Causes Not known,Male,260
1319,Delhi,2005,Drug Abuse/Addiction,Female,1
1320,Delhi,2005,Drug Abuse/Addiction,Male,18
1321,Delhi,2005,Financial issues,Female,16
1322,Delhi,2005,Financial issues,Male,71
1323,Delhi,2005,Others Causes,Female,43
1324,Delhi,2005,Others Causes,Male,69
1325,Delhi,2005,Pressures of Society,Female,22
1326,Delhi,2005,Pressures of Society,Male,40
1327,Delhi,2005,Relation Troubles,Female,208
1328,Delhi,2005,Relation Troubles,Male,256
1329,Delhi,2005,Sickness,Female,41
1330,Delhi,2005,Sickness,Male,63
1331,Delhi,2006,Causes Not known,Female,202
1332,Delhi,2006,Causes Not known,Male,409
1333,Delhi,2006,Drug Abuse/Addiction,Female,2
1334,Delhi,2006,Drug Abuse/Addiction,Male,20
1335,Delhi,2006,Financial issues,Female,11
1336,Delhi,2006,Financial issues,Male,95
1337,Delhi,2006,Others Causes,Female,24
1338,Delhi,2006,Others Causes,Male,58
1339,Delhi,2006,Pressures of Society,Female,18
1340,Delhi,2006,Pressures of Society,Male,20
1341,Delhi,2006,Relation Troubles,Female,239
1342,Delhi,2006,Relation Troubles,Male,263
1343,Delhi,2006,Sickness,Female,36
1344,Delhi,2006,Sickness,Male,95
1345,Delhi,2007,Causes Not known,Female,162
1346,Delhi,2007,Causes Not known,Male,419
1347,Delhi,2007,Drug Abuse/Addiction,Female,2
1348,Delhi,2007,Drug Abuse/Addiction,Male,16
1349,Delhi,2007,Financial issues,Female,16
1350,Delhi,2007,Financial issues,Male,79
1351,Delhi,2007,Others Causes,Female,42
1352,Delhi,2007,Others Causes,Male,129
1353,Delhi,2007,Pressures of Society,Female,28
1354,Delhi,2007,Pressures of Society,Male,29
1355,Delhi,2007,Relation Troubles,Female,242
1356,Delhi,2007,Relation Troubles,Male,226
1357,Delhi,2007,Sickness,Female,23
1358,Delhi,2007,Sickness,Male,68
1359,Delhi,2008,Causes Not known,Female,150
1360,Delhi,2008,Causes Not known,Male,291
1361,Delhi,2008,Drug Abuse/Addiction,Female,3
1362,Delhi,2008,Drug Abuse/Addiction,Male,18
1363,Delhi,2008,Financial issues,Female,21
1364,Delhi,2008,Financial issues,Male,113
1365,Delhi,2008,Others Causes,Female,36
1366,Delhi,2008,Others Causes,Male,72
1367,Delhi,2008,Physical Abuse (Rape/Incest Etc.),Female,1
1368,Delhi,2008,Pressures of Society,Female,25
1369,Delhi,2008,Pressures of Society,Male,45
1370,Delhi,2008,Relation Troubles,Female,239
1371,Delhi,2008,Relation Troubles,Male,186
1372,Delhi,2008,Sickness,Female,33
1373,Delhi,2008,Sickness,Male,70
1374,Delhi,2009,Causes Not known,Female,149
1375,Delhi,2009,Causes Not known,Male,270
1376,Delhi,2009,Drug Abuse/Addiction,Male,37
1377,Delhi,2009,Financial issues,Female,25
1378,Delhi,2009,Financial issues,Male,117
1379,Delhi,2009,Others Causes,Female,72
1380,Delhi,2009,Others Causes,Male,166
1381,Delhi,2009,Pressures of Society,Female,25
1382,Delhi,2009,Pressures of Society,Male,26
1383,Delhi,2009,Relation Troubles,Female,246
1384,Delhi,2009,Relation Troubles,Male,244
1385,Delhi,2009,Sickness,Female,27
1386,Delhi,2009,Sickness,Male,73
1387,Delhi,2010,Causes Not known,Female,202
1388,Delhi,2010,Causes Not known,Male,401
1389,Delhi,2010,Drug Abuse/Addiction,Female,1
1390,Delhi,2010,Drug Abuse/Addiction,Male,23
1391,Delhi,2010,Financial issues,Female,14
1392,Delhi,2010,Financial issues,Male,95
1393,Delhi,2010,Others Causes,Female,70
1394,Delhi,2010,Others Causes,Male,109
1395,Delhi,2010,Physical Abuse (Rape/Incest Etc.),Female,3
1396,Delhi,2010,Physical Abuse (Rape/Incest Etc.),Male,1
1397,Delhi,2010,Pressures of Society,Female,35
1398,Delhi,2010,Pressures of Society,Male,41
1399,Delhi,2010,Relation Troubles,Female,242
1400,Delhi,2010,Relation Troubles,Male,234
1401,Delhi,2010,Sickness,Female,15
1402,Delhi,2010,Sickness,Male,57
1403,Delhi,2011,Causes Not known,Female,174
1404,Delhi,2011,Causes Not known,Male,373
1405,Delhi,2011,Drug Abuse/Addiction,Female,7
1406,Delhi,2011,Drug Abuse/Addiction,Male,35
1407,Delhi,2011,Financial issues,Female,21
1408,Delhi,2011,Financial issues,Male,135
1409,Delhi,2011,Others Causes,Female,58
1410,Delhi,2011,Others Causes,Male,150
1411,Delhi,2011,Pressures of Society,Female,18
1412,Delhi,2011,Pressures of Society,Male,33
1413,Delhi,2011,Relation Troubles,Female,223
1414,Delhi,2011,Relation Troubles,Male,342
1415,Delhi,2011,Sickness,Female,47
1416,Delhi,2011,Sickness,Male,100
1417,Delhi,2012,Causes Not known,Female,196
1418,Delhi,2012,Causes Not known,Male,488
1419,Delhi,2012,Drug Abuse/Addiction,Male,45
1420,Delhi,2012,Financial issues,Female,24
1421,Delhi,2012,Financial issues,Male,148
1422,Delhi,2012,Others Causes,Female,50
1423,Delhi,2012,Others Causes,Male,96
1424,Delhi,2012,Pressures of Society,Female,45
1425,Delhi,2012,Pressures of Society,Male,63
1426,Delhi,2012,Relation Troubles,Female,291
1427,Delhi,2012,Relation Troubles,Male,314
1428,Delhi,2012,Sickness,Female,47
1429,Delhi,2012,Sickness,Male,92
1430,Goa,2001,Causes Not known,Female,19
1431,Goa,2001,Causes Not known,Male,37
1432,Goa,2001,Financial issues,Female,2
1433,Goa,2001,Financial issues,Male,12
1434,Goa,2001,Others Causes,Female,10
1435,Goa,2001,Others Causes,Male,34
1436,Goa,2001,Pressures of Society,Female,1
1437,Goa,2001,Pressures of Society,Male,1
1438,Goa,2001,Relation Troubles,Female,24
1439,Goa,2001,Relation Troubles,Male,34
1440,Goa,2001,Sickness,Female,33
1441,Goa,2001,Sickness,Male,49
1442,Goa,2002,Causes Not known,Female,17
1443,Goa,2002,Causes Not known,Male,54
1444,Goa,2002,Financial issues,Female,1
1445,Goa,2002,Financial issues,Male,42
1446,Goa,2002,Others Causes,Female,3
1447,Goa,2002,Others Causes,Male,39
1448,Goa,2002,Pressures of Society,Female,2
1449,Goa,2002,Pressures of Society,Male,4
1450,Goa,2002,Relation Troubles,Female,38
1451,Goa,2002,Relation Troubles,Male,33
1452,Goa,2002,Sickness,Female,22
1453,Goa,2002,Sickness,Male,54
1454,Goa,2003,Causes Not known,Female,24
1455,Goa,2003,Causes Not known,Male,50
1456,Goa,2003,Drug Abuse/Addiction,Male,2
1457,Goa,2003,Financial issues,Female,3
1458,Goa,2003,Financial issues,Male,28
1459,Goa,2003,Others Causes,Female,7
1460,Goa,2003,Others Causes,Male,21
1461,Goa,2003,Pressures of Society,Female,2
1462,Goa,2003,Pressures of Society,Male,3
1463,Goa,2003,Relation Troubles,Female,26
1464,Goa,2003,Relation Troubles,Male,39
1465,Goa,2003,Sickness,Female,25
1466,Goa,2003,Sickness,Male,70
1467,Goa,2004,Causes Not known,Female,21
1468,Goa,2004,Causes Not known,Male,69
1469,Goa,2004,Drug Abuse/Addiction,Male,1
1470,Goa,2004,Financial issues,Female,5
1471,Goa,2004,Financial issues,Male,15
1472,Goa,2004,Others Causes,Female,17
1473,Goa,2004,Others Causes,Male,36
1474,Goa,2004,Pressures of Society,Male,6
1475,Goa,2004,Relation Troubles,Female,30
1476,Goa,2004,Relation Troubles,Male,40
1477,Goa,2004,Sickness,Female,29
1478,Goa,2004,Sickness,Male,45
1479,Goa,2005,Causes Not known,Female,20
1480,Goa,2005,Causes Not known,Male,60
1481,Goa,2005,Drug Abuse/Addiction,Male,3
1482,Goa,2005,Financial issues,Female,2
1483,Goa,2005,Financial issues,Male,18
1484,Goa,2005,Others Causes,Female,12
1485,Goa,2005,Others Causes,Male,32
1486,Goa,2005,Pressures of Society,Female,3
1487,Goa,2005,Relation Troubles,Female,22
1488,Goa,2005,Relation Troubles,Male,29
1489,Goa,2005,Sickness,Female,26
1490,Goa,2005,Sickness,Male,55
1491,Goa,2006,Causes Not known,Female,25
1492,Goa,2006,Causes Not known,Male,47
1493,Goa,2006,Drug Abuse/Addiction,Male,3
1494,Goa,2006,Financial issues,Male,18
1495,Goa,2006,Others Causes,Female,5
1496,Goa,2006,Others Causes,Male,28
1497,Goa,2006,Physical Abuse (Rape/Incest Etc.),Female,1
1498,Goa,2006,Pressures of Society,Female,25
1499,Goa,2006,Pressures of Society,Male,25
1500,Goa,2006,Relation Troubles,Female,13
1501,Goa,2006,Relation Troubles,Male,10
1502,Goa,2006,Sickness,Female,23
1503,Goa,2006,Sickness,Male,52
1504,Goa,2007,Causes Not known,Female,23
1505,Goa,2007,Causes Not known,Male,56
1506,Goa,2007,Drug Abuse/Addiction,Male,5
1507,Goa,2007,Financial issues,Female,5
1508,Goa,2007,Financial issues,Male,20
1509,Goa,2007,Others Causes,Female,2
1510,Goa,2007,Others Causes,Male,14
1511,Goa,2007,Pressures of Society,Female,3
1512,Goa,2007,Pressures of Society,Male,2
1513,Goa,2007,Relation Troubles,Female,27
1514,Goa,2007,Relation Troubles,Male,36
1515,Goa,2007,Sickness,Female,32
1516,Goa,2007,Sickness,Male,45
1517,Goa,2008,Causes Not known,Female,31
1518,Goa,2008,Causes Not known,Male,46
1519,Goa,2008,Drug Abuse/Addiction,Female,1
1520,Goa,2008,Drug Abuse/Addiction,Male,4
1521,Goa,2008,Financial issues,Female,2
1522,Goa,2008,Financial issues,Male,22
1523,Goa,2008,Others Causes,Female,15
1524,Goa,2008,Others Causes,Male,40
1525,Goa,2008,Pressures of Society,Male,1
1526,Goa,2008,Relation Troubles,Female,30
1527,Goa,2008,Relation Troubles,Male,27
1528,Goa,2008,Sickness,Female,25
1529,Goa,2008,Sickness,Male,43
1530,Goa,2009,Causes Not known,Female,17
1531,Goa,2009,Causes Not known,Male,32
1532,Goa,2009,Drug Abuse/Addiction,Male,11
1533,Goa,2009,Financial issues,Female,5
1534,Goa,2009,Financial issues,Male,20
1535,Goa,2009,Others Causes,Female,6
1536,Goa,2009,Others Causes,Male,40
1537,Goa,2009,Relation Troubles,Female,35
1538,Goa,2009,Relation Troubles,Male,33
1539,Goa,2009,Sickness,Female,31
1540,Goa,2009,Sickness,Male,48
1541,Goa,2010,Causes Not known,Female,20
1542,Goa,2010,Causes Not known,Male,49
1543,Goa,2010,Drug Abuse/Addiction,Male,6
1544,Goa,2010,Financial issues,Female,1
1545,Goa,2010,Financial issues,Male,25
1546,Goa,2010,Others Causes,Female,5
1547,Goa,2010,Others Causes,Male,49
1548,Goa,2010,Pressures of Society,Male,6
1549,Goa,2010,Relation Troubles,Female,30
1550,Goa,2010,Relation Troubles,Male,47
1551,Goa,2010,Sickness,Female,30
1552,Goa,2010,Sickness,Male,54
1553,Goa,2011,Causes Not known,Female,22
1554,Goa,2011,Causes Not known,Male,54
1555,Goa,2011,Drug Abuse/Addiction,Male,8
1556,Goa,2011,Financial issues,Male,19
1557,Goa,2011,Others Causes,Female,10
1558,Goa,2011,Others Causes,Male,34
1559,Goa,2011,Pressures of Society,Female,5
1560,Goa,2011,Relation Troubles,Female,30
1561,Goa,2011,Relation Troubles,Male,31
1562,Goa,2011,Sickness,Female,31
1563,Goa,2011,Sickness,Male,49
1564,Goa,2012,Causes Not known,Female,21
1565,Goa,2012,Causes Not known,Male,48
1566,Goa,2012,Drug Abuse/Addiction,Male,5
1567,Goa,2012,Financial issues,Male,8
1568,Goa,2012,Others Causes,Female,9
1569,Goa,2012,Others Causes,Male,39
1570,Goa,2012,Pressures of Society,Female,1
1571,Goa,2012,Pressures of Society,Male,12
1572,Goa,2012,Relation Troubles,Female,34
1573,Goa,2012,Relation Troubles,Male,44
1574,Goa,2012,Sickness,Female,28
1575,Goa,2012,Sickness,Male,40
1576,Gujarat,2001,Causes Not known,Female,276
1577,Gujarat,2001,Causes Not known,Male,460
1578,Gujarat,2001,Drug Abuse/Addiction,Female,2
1579,Gujarat,2001,Drug Abuse/Addiction,Male,12
1580,Gujarat,2001,Financial issues,Female,186
1581,Gujarat,2001,Financial issues,Male,563
1582,Gujarat,2001,Others Causes,Female,69
1583,Gujarat,2001,Others Causes,Male,95
1584,Gujarat,2001,Physical Abuse (Rape/Incest Etc.),Female,15
1585,Gujarat,2001,Physical Abuse (Rape/Incest Etc.),Male,1
1586,Gujarat,2001,Pressures of Society,Female,72
1587,Gujarat,2001,Pressures of Society,Male,93
1588,Gujarat,2001,Relation Troubles,Female,987
1589,Gujarat,2001,Relation Troubles,Male,811
1590,Gujarat,2001,Sickness,Female,535
1591,Gujarat,2001,Sickness,Male,614
1592,Gujarat,2002,Causes Not known,Female,309
1593,Gujarat,2002,Causes Not known,Male,557
1594,Gujarat,2002,Drug Abuse/Addiction,Female,3
1595,Gujarat,2002,Drug Abuse/Addiction,Male,43
1596,Gujarat,2002,Financial issues,Female,130
1597,Gujarat,2002,Financial issues,Male,574
1598,Gujarat,2002,Others Causes,Female,103
1599,Gujarat,2002,Others Causes,Male,149
1600,Gujarat,2002,Physical Abuse (Rape/Incest Etc.),Female,8
1601,Gujarat,2002,Physical Abuse (Rape/Incest Etc.),Male,2
1602,Gujarat,2002,Pressures of Society,Female,84
1603,Gujarat,2002,Pressures of Society,Male,96
1604,Gujarat,2002,Relation Troubles,Female,808
1605,Gujarat,2002,Relation Troubles,Male,667
1606,Gujarat,2002,Sickness,Female,493
1607,Gujarat,2002,Sickness,Male,618
1608,Gujarat,2003,Causes Not known,Female,308
1609,Gujarat,2003,Causes Not known,Male,555
1610,Gujarat,2003,Drug Abuse/Addiction,Female,2
1611,Gujarat,2003,Drug Abuse/Addiction,Male,21
1612,Gujarat,2003,Financial issues,Female,93
1613,Gujarat,2003,Financial issues,Male,496
1614,Gujarat,2003,Others Causes,Female,173
1615,Gujarat,2003,Others Causes,Male,255
1616,Gujarat,2003,Physical Abuse (Rape/Incest Etc.),Female,27
1617,Gujarat,2003,Physical Abuse (Rape/Incest Etc.),Male,22
1618,Gujarat,2003,Pressures of Society,Female,59
1619,Gujarat,2003,Pressures of Society,Male,95
1620,Gujarat,2003,Relation Troubles,Female,667
1621,Gujarat,2003,Relation Troubles,Male,562
1622,Gujarat,2003,Sickness,Female,587
1623,Gujarat,2003,Sickness,Male,644
1624,Gujarat,2004,Causes Not known,Female,270
1625,Gujarat,2004,Causes Not known,Male,558
1626,Gujarat,2004,Drug Abuse/Addiction,Female,2
1627,Gujarat,2004,Drug Abuse/Addiction,Male,18
1628,Gujarat,2004,Financial issues,Female,114
1629,Gujarat,2004,Financial issues,Male,494
1630,Gujarat,2004,Others Causes,Female,170
1631,Gujarat,2004,Others Causes,Male,358
1632,Gujarat,2004,Physical Abuse (Rape/Incest Etc.),Female,22
1633,Gujarat,2004,Physical Abuse (Rape/Incest Etc.),Male,9
1634,Gujarat,2004,Pressures of Society,Female,73
1635,Gujarat,2004,Pressures of Society,Male,117
1636,Gujarat,2004,Relation Troubles,Female,764
1637,Gujarat,2004,Relation Troubles,Male,644
1638,Gujarat,2004,Sickness,Female,511
1639,Gujarat,2004,Sickness,Male,652
1640,Gujarat,2005,Causes Not known,Female,278
1641,Gujarat,2005,Causes Not known,Male,557
1642,Gujarat,2005,Drug Abuse/Addiction,Female,2
1643,Gujarat,2005,Drug Abuse/Addiction,Male,17
1644,Gujarat,2005,Financial issues,Female,76
1645,Gujarat,2005,Financial issues,Male,447
1646,Gujarat,2005,Others Causes,Female,230
1647,Gujarat,2005,Others Causes,Male,318
1648,Gujarat,2005,Physical Abuse (Rape/Incest Etc.),Female,13
1649,Gujarat,2005,Physical Abuse (Rape/Incest Etc.),Male,15
1650,Gujarat,2005,Pressures of Society,Female,85
1651,Gujarat,2005,Pressures of Society,Male,111
1652,Gujarat,2005,Relation Troubles,Female,667
1653,Gujarat,2005,Relation Troubles,Male,694
1654,Gujarat,2005,Sickness,Female,512
1655,Gujarat,2005,Sickness,Male,743
1656,Gujarat,2006,Causes Not known,Female,396
1657,Gujarat,2006,Causes Not known,Male,721
1658,Gujarat,2006,Drug Abuse/Addiction,Female,3
1659,Gujarat,2006,Drug Abuse/Addiction,Male,16
1660,Gujarat,2006,Financial issues,Female,77
1661,Gujarat,2006,Financial issues,Male,514
1662,Gujarat,2006,Others Causes,Female,178
1663,Gujarat,2006,Others Causes,Male,263
1664,Gujarat,2006,Physical Abuse (Rape/Incest Etc.),Female,20
1665,Gujarat,2006,Physical Abuse (Rape/Incest Etc.),Male,13
1666,Gujarat,2006,Pressures of Society,Female,61
1667,Gujarat,2006,Pressures of Society,Male,113
1668,Gujarat,2006,Relation Troubles,Female,733
1669,Gujarat,2006,Relation Troubles,Male,727
1670,Gujarat,2006,Sickness,Female,519
1671,Gujarat,2006,Sickness,Male,681
1672,Gujarat,2007,Causes Not known,Female,420
1673,Gujarat,2007,Causes Not known,Male,764
1674,Gujarat,2007,Drug Abuse/Addiction,Female,4
1675,Gujarat,2007,Drug Abuse/Addiction,Male,29
1676,Gujarat,2007,Financial issues,Female,80
1677,Gujarat,2007,Financial issues,Male,441
1678,Gujarat,2007,Others Causes,Female,213
1679,Gujarat,2007,Others Causes,Male,381
1680,Gujarat,2007,Physical Abuse (Rape/Incest Etc.),Female,18
1681,Gujarat,2007,Physical Abuse (Rape/Incest Etc.),Male,6
1682,Gujarat,2007,Pressures of Society,Female,79
1683,Gujarat,2007,Pressures of Society,Male,91
1684,Gujarat,2007,Relation Troubles,Female,784
1685,Gujarat,2007,Relation Troubles,Male,719
1686,Gujarat,2007,Sickness,Female,607
1687,Gujarat,2007,Sickness,Male,944
1688,Gujarat,2008,Causes Not known,Female,405
1689,Gujarat,2008,Causes Not known,Male,723
1690,Gujarat,2008,Drug Abuse/Addiction,Female,17
1691,Gujarat,2008,Drug Abuse/Addiction,Male,40
1692,Gujarat,2008,Financial issues,Female,108
1693,Gujarat,2008,Financial issues,Male,574
1694,Gujarat,2008,Others Causes,Female,281
1695,Gujarat,2008,Others Causes,Male,487
1696,Gujarat,2008,Physical Abuse (Rape/Incest Etc.),Female,16
1697,Gujarat,2008,Physical Abuse (Rape/Incest Etc.),Male,2
1698,Gujarat,2008,Pressures of Society,Female,79
1699,Gujarat,2008,Pressures of Society,Male,122
1700,Gujarat,2008,Relation Troubles,Female,892
1701,Gujarat,2008,Relation Troubles,Male,935
1702,Gujarat,2008,Sickness,Female,632
1703,Gujarat,2008,Sickness,Male,852
1704,Gujarat,2009,Causes Not known,Female,361
1705,Gujarat,2009,Causes Not known,Male,697
1706,Gujarat,2009,Drug Abuse/Addiction,Female,7
1707,Gujarat,2009,Drug Abuse/Addiction,Male,25
1708,Gujarat,2009,Financial issues,Female,119
1709,Gujarat,2009,Financial issues,Male,599
1710,Gujarat,2009,Others Causes,Female,198
1711,Gujarat,2009,Others Causes,Male,344
1712,Gujarat,2009,Physical Abuse (Rape/Incest Etc.),Female,4
1713,Gujarat,2009,Physical Abuse (Rape/Incest Etc.),Male,3
1714,Gujarat,2009,Pressures of Society,Female,132
1715,Gujarat,2009,Pressures of Society,Male,133
1716,Gujarat,2009,Relation Troubles,Female,1022
1717,Gujarat,2009,Relation Troubles,Male,960
1718,Gujarat,2009,Sickness,Female,642
1719,Gujarat,2009,Sickness,Male,910
1720,Gujarat,2010,Causes Not known,Female,425
1721,Gujarat,2010,Causes Not known,Male,821
1722,Gujarat,2010,Drug Abuse/Addiction,Female,4
1723,Gujarat,2010,Drug Abuse/Addiction,Male,25
1724,Gujarat,2010,Financial issues,Female,61
1725,Gujarat,2010,Financial issues,Male,517
1726,Gujarat,2010,Others Causes,Female,363
1727,Gujarat,2010,Others Causes,Male,686
1728,Gujarat,2010,Physical Abuse (Rape/Incest Etc.),Female,7
1729,Gujarat,2010,Physical Abuse (Rape/Incest Etc.),Male,2
1730,Gujarat,2010,Pressures of Society,Female,53
1731,Gujarat,2010,Pressures of Society,Male,84
1732,Gujarat,2010,Relation Troubles,Female,902
1733,Gujarat,2010,Relation Troubles,Male,810
1734,Gujarat,2010,Sickness,Female,579
1735,Gujarat,2010,Sickness,Male,868
1736,Gujarat,2011,Causes Not known,Female,444
1737,Gujarat,2011,Causes Not known,Male,819
1738,Gujarat,2011,Drug Abuse/Addiction,Female,2
1739,Gujarat,2011,Drug Abuse/Addiction,Male,17
1740,Gujarat,2011,Financial issues,Female,73
1741,Gujarat,2011,Financial issues,Male,469
1742,Gujarat,2011,Others Causes,Female,257
1743,Gujarat,2011,Others Causes,Male,548
1744,Gujarat,2011,Physical Abuse (Rape/Incest Etc.),Female,9
1745,Gujarat,2011,Physical Abuse (Rape/Incest Etc.),Male,7
1746,Gujarat,2011,Pressures of Society,Female,78
1747,Gujarat,2011,Pressures of Society,Male,89
1748,Gujarat,2011,Relation Troubles,Female,997
1749,Gujarat,2011,Relation Troubles,Male,1021
1750,Gujarat,2011,Sickness,Female,610
1751,Gujarat,2011,Sickness,Male,942
1752,Gujarat,2012,Causes Not known,Female,547
1753,Gujarat,2012,Causes Not known,Male,1119
1754,Gujarat,2012,Drug Abuse/Addiction,Female,5
1755,Gujarat,2012,Drug Abuse/Addiction,Male,48
1756,Gujarat,2012,Financial issues,Female,84
1757,Gujarat,2012,Financial issues,Male,496
1758,Gujarat,2012,Others Causes,Female,430
1759,Gujarat,2012,Others Causes,Male,603
1760,Gujarat,2012,Physical Abuse (Rape/Incest Etc.),Female,9
1761,Gujarat,2012,Physical Abuse (Rape/Incest Etc.),Male,5
1762,Gujarat,2012,Pressures of Society,Female,85
1763,Gujarat,2012,Pressures of Society,Male,114
1764,Gujarat,2012,Relation Troubles,Female,945
1765,Gujarat,2012,Relation Troubles,Male,972
1766,Gujarat,2012,Sickness,Female,643
1767,Gujarat,2012,Sickness,Male,1005
1768,Haryana,2001,Causes Not known,Female,54
1769,Haryana,2001,Causes Not known,Male,137
1770,Haryana,2001,Drug Abuse/Addiction,Male,19
1771,Haryana,2001,Financial issues,Female,31
1772,Haryana,2001,Financial issues,Male,156
1773,Haryana,2001,Others Causes,Female,198
1774,Haryana,2001,Others Causes,Male,560
1775,Haryana,2001,Physical Abuse (Rape/Incest Etc.),Female,5
1776,Haryana,2001,Pressures of Society,Female,70
1777,Haryana,2001,Pressures of Society,Male,90
1778,Haryana,2001,Relation Troubles,Female,240
1779,Haryana,2001,Relation Troubles,Male,270
1780,Haryana,2001,Sickness,Female,45
1781,Haryana,2001,Sickness,Male,132
1782,Haryana,2002,Causes Not known,Female,46
1783,Haryana,2002,Causes Not known,Male,120
1784,Haryana,2002,Drug Abuse/Addiction,Male,26
1785,Haryana,2002,Financial issues,Female,13
1786,Haryana,2002,Financial issues,Male,151
1787,Haryana,2002,Others Causes,Female,264
1788,Haryana,2002,Others Causes,Male,800
1789,Haryana,2002,Physical Abuse (Rape/Incest Etc.),Male,2
1790,Haryana,2002,Pressures of Society,Female,12
1791,Haryana,2002,Pressures of Society,Male,40
1792,Haryana,2002,Relation Troubles,Female,229
1793,Haryana,2002,Relation Troubles,Male,262
