,State,Year,Type_code,Type,Gender,Age_group,Total,Categories
11452,Andhra Pradesh,2009,Causes,Cancer,Female,60+,6,Sickness
11453,Andhra Pradesh,2009,Causes,Death of Dear Person,Female,60+,5,Relation Troubles
11454,Andhra Pradesh,2009,Causes,Paralysis,Female,60+,17,Sickness
11455,Andhra Pradesh,2009,Causes,Other Causes (Please Specity),Female,60+,45,Others Causes
11457,Andhra Pradesh,2009,Causes,Family Problems,Female,60+,24,Relation Troubles
11458,Andhra Pradesh,2009,Causes,Fall in Social Reputation,Female,60+,5,Pressures of Society
11460,Andhra Pradesh,2009,Causes,Drug Abuse/Addiction,Female,60+,1,Drug Abuse/Addiction
11467,Andhra Pradesh,2009,Causes,Bankruptcy or Sudden change in Economic,Female,60+,5,Financial issues
11468,Andhra Pradesh,2009,Causes,Poverty,Female,60+,37,Financial issues
11469,Andhra Pradesh,2009,Causes,Causes Not known,Female,60+,19,Causes Not known
11471,Andhra Pradesh,2009,Causes,Insanity/Mental Illness,Female,60+,49,Sickness
11473,Andhra Pradesh,2009,Causes,Other Prolonged Illness,Male,60+,248,Sickness
11474,Andhra Pradesh,2009,Causes,Bankruptcy or Sudden change in Economic,Male,60+,38,Financial issues
11475,Andhra Pradesh,2009,Causes,Drug Abuse/Addiction,Male,60+,4,Drug Abuse/Addiction
11476,Andhra Pradesh,2009,Causes,Causes Not known,Male,60+,79,Causes Not known
11477,Andhra Pradesh,2009,Causes,Property Dispute,Male,60+,1,Financial issues
11482,Andhra Pradesh,2009,Causes,Paralysis,Male,60+,54,Sickness
11483,Andhra Pradesh,2009,Causes,Family Problems,Male,60+,48,Relation Troubles
11486,Andhra Pradesh,2009,Causes,Cancer,Male,60+,9,Sickness
11489,Andhra Pradesh,2009,Causes,Suspected/Illicit Relation,Male,60+,1,Relation Troubles
11491,Andhra Pradesh,2009,Causes,Poverty,Male,60+,94,Financial issues
11492,Andhra Pradesh,2009,Causes,Illness (Aids/STD),Male,60+,6,Sickness
11494,Andhra Pradesh,2009,Causes,Other Causes (Please Specity),Male,60+,107,Others Causes
11495,Andhra Pradesh,2009,Causes,Fall in Social Reputation,Male,60+,4,Pressures of Society
11496,Andhra Pradesh,2009,Causes,Insanity/Mental Illness,Male,60+,71,Sickness
11497,Andhra Pradesh,2009,Causes,Death of Dear Person,Male,60+,9,Relation Troubles
11498,Andhra Pradesh,2009,Causes,Professional/Career Problem,Male,60+,12,Financial issues
11805,Andhra Pradesh,2010,Causes,Poverty,Female,0-14,2,Financial issues
11807,Andhra Pradesh,2010,Causes,Love Affairs,Female,0-14,2,Relation Troubles
11808,Andhra Pradesh,2010,Causes,Other Causes (Please Specity),Female,0-14,24,Others Causes
11813,Andhra Pradesh,2010,Causes,Causes Not known,Female,0-14,39,Causes Not known
11814,Andhra Pradesh,2010,Causes,Death of Dear Person,Female,0-14,2,Relation Troubles
11822,Andhra Pradesh,2010,Causes,Insanity/Mental Illness,Female,0-14,20,Sickness
11823,Andhra Pradesh,2010,Causes,Other Prolonged Illness,Female,0-14,24,Sickness
11827,Andhra Pradesh,2010,Causes,Suspected/Illicit Relation,Female,0-14,2,Relation Troubles
11828,Andhra Pradesh,2010,Causes,Failure in Examination,Female,0-14,15,Pressures of Society
11835,Andhra Pradesh,2010,Causes,Causes Not known,Male,0-14,29,Causes Not known
11837,Andhra Pradesh,2010,Causes,Insanity/Mental Illness,Male,0-14,3,Sickness
11839,Andhra Pradesh,2010,Causes,Other Prolonged Illness,Male,0-14,25,Sickness
11850,Andhra Pradesh,2010,Causes,Other Causes (Please Specity),Male,0-14,23,Others Causes
11854,Andhra Pradesh,2010,Causes,Failure in Examination,Male,0-14,15,Pressures of Society
11857,Andhra Pradesh,2010,Causes,Dowry Dispute,Female,15-29,86,Relation Troubles
11858,Andhra Pradesh,2010,Causes,Physical Abuse (Rape/Incest Etc.),Female,15-29,2,Physical Abuse (Rape/Incest Etc.)
11859,Andhra Pradesh,2010,Causes,Family Problems,Female,15-29,417,Relation Troubles
11860,Andhra Pradesh,2010,Causes,Cancellation/Non-Settlement of Marriage,Female,15-29,32,Relation Troubles
11861,Andhra Pradesh,2010,Causes,Fall in Social Reputation,Female,15-29,43,Pressures of Society
11862,Andhra Pradesh,2010,Causes,Illegitimate Pregnancy,Female,15-29,8,Relation Troubles
11863,Andhra Pradesh,2010,Causes,Unemployment,Female,15-29,26,Financial issues
11864,Andhra Pradesh,2010,Causes,Bankruptcy or Sudden change in Economic,Female,15-29,34,Financial issues
11865,Andhra Pradesh,2010,Causes,Other Causes (Please Specity),Female,15-29,260,Others Causes
11866,Andhra Pradesh,2010,Causes,Paralysis,Female,15-29,4,Sickness
11867,Andhra Pradesh,2010,Causes,Poverty,Female,15-29,144,Financial issues
11868,Andhra Pradesh,2010,Causes,Suspected/Illicit Relation,Female,15-29,38,Relation Troubles
11869,Andhra Pradesh,2010,Causes,Failure in Examination,Female,15-29,74,Pressures of Society
11870,Andhra Pradesh,2010,Causes,Drug Abuse/Addiction,Female,15-29,2,Drug Abuse/Addiction
11871,Andhra Pradesh,2010,Causes,Ideological Causes/Hero Worshipping,Female,15-29,10,Pressures of Society
11872,Andhra Pradesh,2010,Causes,Illness (Aids/STD),Female,15-29,36,Sickness
11873,Andhra Pradesh,2010,Causes,Not having Children(Barrenness/Impotency,Female,15-29,24,Relation Troubles
11874,Andhra Pradesh,2010,Causes,Professional/Career Problem,Female,15-29,8,Financial issues
11875,Andhra Pradesh,2010,Causes,Death of Dear Person,Female,15-29,22,Relation Troubles
11876,Andhra Pradesh,2010,Causes,Cancer,Female,15-29,13,Sickness
11877,Andhra Pradesh,2010,Causes,Causes Not known,Female,15-29,143,Causes Not known
11878,Andhra Pradesh,2010,Causes,Other Prolonged Illness,Female,15-29,452,Sickness
11879,Andhra Pradesh,2010,Causes,Insanity/Mental Illness,Female,15-29,143,Sickness
11880,Andhra Pradesh,2010,Causes,Divorce,Female,15-29,9,Relation Troubles
11881,Andhra Pradesh,2010,Causes,Love Affairs,Female,15-29,109,Relation Troubles
11882,Andhra Pradesh,2010,Causes,Property Dispute,Female,15-29,6,Financial issues
11883,Andhra Pradesh,2010,Causes,Suspected/Illicit Relation,Male,15-29,20,Relation Troubles
11885,Andhra Pradesh,2010,Causes,Dowry Dispute,Male,15-29,3,Relation Troubles
11886,Andhra Pradesh,2010,Causes,Other Prolonged Illness,Male,15-29,569,Sickness
11887,Andhra Pradesh,2010,Causes,Not having Children(Barrenness/Impotency,Male,15-29,2,Relation Troubles
11888,Andhra Pradesh,2010,Causes,Drug Abuse/Addiction,Male,15-29,20,Drug Abuse/Addiction
11889,Andhra Pradesh,2010,Causes,Professional/Career Problem,Male,15-29,43,Financial issues
11890,Andhra Pradesh,2010,Causes,Cancer,Male,15-29,15,Sickness
11891,Andhra Pradesh,2010,Causes,Death of Dear Person,Male,15-29,22,Relation Troubles
11892,Andhra Pradesh,2010,Causes,Bankruptcy or Sudden change in Economic,Male,15-29,124,Financial issues
11893,Andhra Pradesh,2010,Causes,Ideological Causes/Hero Worshipping,Male,15-29,12,Pressures of Society
11894,Andhra Pradesh,2010,Causes,Love Affairs,Male,15-29,203,Relation Troubles
11895,Andhra Pradesh,2010,Causes,Fall in Social Reputation,Male,15-29,59,Pressures of Society
11896,Andhra Pradesh,2010,Causes,Poverty,Male,15-29,287,Financial issues
11897,Andhra Pradesh,2010,Causes,Cancellation/Non-Settlement of Marriage,Male,15-29,33,Relation Troubles
11898,Andhra Pradesh,2010,Causes,Illness (Aids/STD),Male,15-29,52,Sickness
11899,Andhra Pradesh,2010,Causes,Failure in Examination,Male,15-29,145,Pressures of Society
11900,Andhra Pradesh,2010,Causes,Paralysis,Male,15-29,6,Sickness
11901,Andhra Pradesh,2010,Causes,Divorce,Male,15-29,3,Relation Troubles
11902,Andhra Pradesh,2010,Causes,Causes Not known,Male,15-29,423,Causes Not known
11903,Andhra Pradesh,2010,Causes,Family Problems,Male,15-29,651,Relation Troubles
11905,Andhra Pradesh,2010,Causes,Other Causes (Please Specity),Male,15-29,509,Others Causes
11906,Andhra Pradesh,2010,Causes,Insanity/Mental Illness,Male,15-29,199,Sickness
11907,Andhra Pradesh,2010,Causes,Property Dispute,Male,15-29,43,Financial issues
11908,Andhra Pradesh,2010,Causes,Unemployment,Male,15-29,87,Financial issues
11910,Andhra Pradesh,2010,Causes,Unemployment,Female,30-44,15,Financial issues
11911,Andhra Pradesh,2010,Causes,Divorce,Female,30-44,8,Relation Troubles
11912,Andhra Pradesh,2010,Causes,Drug Abuse/Addiction,Female,30-44,3,Drug Abuse/Addiction
11913,Andhra Pradesh,2010,Causes,Paralysis,Female,30-44,7,Sickness
11914,Andhra Pradesh,2010,Causes,Love Affairs,Female,30-44,12,Relation Troubles
11915,Andhra Pradesh,2010,Causes,Causes Not known,Female,30-44,153,Causes Not known
11916,Andhra Pradesh,2010,Causes,Illness (Aids/STD),Female,30-44,25,Sickness
11917,Andhra Pradesh,2010,Causes,Illegitimate Pregnancy,Female,30-44,4,Relation Troubles
11918,Andhra Pradesh,2010,Causes,Insanity/Mental Illness,Female,30-44,106,Sickness
11919,Andhra Pradesh,2010,Causes,Death of Dear Person,Female,30-44,8,Relation Troubles
11920,Andhra Pradesh,2010,Causes,Professional/Career Problem,Female,30-44,5,Financial issues
11921,Andhra Pradesh,2010,Causes,Not having Children(Barrenness/Impotency,Female,30-44,16,Relation Troubles
11922,Andhra Pradesh,2010,Causes,Other Prolonged Illness,Female,30-44,338,Sickness
11924,Andhra Pradesh,2010,Causes,Ideological Causes/Hero Worshipping,Female,30-44,7,Pressures of Society
11925,Andhra Pradesh,2010,Causes,Poverty,Female,30-44,102,Financial issues
11926,Andhra Pradesh,2010,Causes,Suspected/Illicit Relation,Female,30-44,28,Relation Troubles
11927,Andhra Pradesh,2010,Causes,Cancer,Female,30-44,36,Sickness
11928,Andhra Pradesh,2010,Causes,Cancellation/Non-Settlement of Marriage,Female,30-44,7,Relation Troubles
11929,Andhra Pradesh,2010,Causes,Other Causes (Please Specity),Female,30-44,308,Others Causes
11930,Andhra Pradesh,2010,Causes,Bankruptcy or Sudden change in Economic,Female,30-44,47,Financial issues
11931,Andhra Pradesh,2010,Causes,Dowry Dispute,Female,30-44,19,Relation Troubles
11932,Andhra Pradesh,2010,Causes,Property Dispute,Female,30-44,14,Financial issues
11933,Andhra Pradesh,2010,Causes,Fall in Social Reputation,Female,30-44,20,Pressures of Society
11934,Andhra Pradesh,2010,Causes,Family Problems,Female,30-44,284,Relation Troubles
11935,Andhra Pradesh,2010,Causes,Cancellation/Non-Settlement of Marriage,Male,30-44,15,Relation Troubles
11937,Andhra Pradesh,2010,Causes,Ideological Causes/Hero Worshipping,Male,30-44,7,Pressures of Society
11939,Andhra Pradesh,2010,Causes,Professional/Career Problem,Male,30-44,38,Financial issues
11940,Andhra Pradesh,2010,Causes,Not having Children(Barrenness/Impotency,Male,30-44,1,Relation Troubles
11941,Andhra Pradesh,2010,Causes,Unemployment,Male,30-44,53,Financial issues
11942,Andhra Pradesh,2010,Causes,Family Problems,Male,30-44,698,Relation Troubles
11943,Andhra Pradesh,2010,Causes,Causes Not known,Male,30-44,516,Causes Not known
11944,Andhra Pradesh,2010,Causes,Fall in Social Reputation,Male,30-44,54,Pressures of Society
11945,Andhra Pradesh,2010,Causes,Insanity/Mental Illness,Male,30-44,222,Sickness
11947,Andhra Pradesh,2010,Causes,Suspected/Illicit Relation,Male,30-44,32,Relation Troubles
11948,Andhra Pradesh,2010,Causes,Death of Dear Person,Male,30-44,22,Relation Troubles
11949,Andhra Pradesh,2010,Causes,Paralysis,Male,30-44,12,Sickness
11950,Andhra Pradesh,2010,Causes,Illness (Aids/STD),Male,30-44,43,Sickness
11951,Andhra Pradesh,2010,Causes,Poverty,Male,30-44,478,Financial issues
11952,Andhra Pradesh,2010,Causes,Cancer,Male,30-44,27,Sickness
11954,Andhra Pradesh,2010,Causes,Divorce,Male,30-44,3,Relation Troubles
11955,Andhra Pradesh,2010,Causes,Property Dispute,Male,30-44,55,Financial issues
11956,Andhra Pradesh,2010,Causes,Bankruptcy or Sudden change in Economic,Male,30-44,304,Financial issues
11957,Andhra Pradesh,2010,Causes,Love Affairs,Male,30-44,25,Relation Troubles
11958,Andhra Pradesh,2010,Causes,Other Causes (Please Specity),Male,30-44,610,Others Causes
11959,Andhra Pradesh,2010,Causes,Other Prolonged Illness,Male,30-44,613,Sickness
11960,Andhra Pradesh,2010,Causes,Drug Abuse/Addiction,Male,30-44,34,Drug Abuse/Addiction
11961,Andhra Pradesh,2010,Causes,Bankruptcy or Sudden change in Economic,Female,45-59,8,Financial issues
11962,Andhra Pradesh,2010,Causes,Fall in Social Reputation,Female,45-59,7,Pressures of Society
11963,Andhra Pradesh,2010,Causes,Cancer,Female,45-59,18,Sickness
11965,Andhra Pradesh,2010,Causes,Suspected/Illicit Relation,Female,45-59,5,Relation Troubles
11968,Andhra Pradesh,2010,Causes,Cancellation/Non-Settlement of Marriage,Female,45-59,2,Relation Troubles
11969,Andhra Pradesh,2010,Causes,Death of Dear Person,Female,45-59,3,Relation Troubles
11970,Andhra Pradesh,2010,Causes,Professional/Career Problem,Female,45-59,1,Financial issues
11971,Andhra Pradesh,2010,Causes,Poverty,Female,45-59,33,Financial issues
11972,Andhra Pradesh,2010,Causes,Causes Not known,Female,45-59,62,Causes Not known
11973,Andhra Pradesh,2010,Causes,Paralysis,Female,45-59,5,Sickness
11974,Andhra Pradesh,2010,Causes,Divorce,Female,45-59,8,Relation Troubles
11975,Andhra Pradesh,2010,Causes,Other Prolonged Illness,Female,45-59,250,Sickness
11976,Andhra Pradesh,2010,Causes,Property Dispute,Female,45-59,6,Financial issues
11978,Andhra Pradesh,2010,Causes,Illness (Aids/STD),Female,45-59,12,Sickness
11979,Andhra Pradesh,2010,Causes,Dowry Dispute,Female,45-59,3,Relation Troubles
11980,Andhra Pradesh,2010,Causes,Family Problems,Female,45-59,102,Relation Troubles
11981,Andhra Pradesh,2010,Causes,Ideological Causes/Hero Worshipping,Female,45-59,3,Pressures of Society
11982,Andhra Pradesh,2010,Causes,Insanity/Mental Illness,Female,45-59,52,Sickness
11983,Andhra Pradesh,2010,Causes,Drug Abuse/Addiction,Female,45-59,1,Drug Abuse/Addiction
11985,Andhra Pradesh,2010,Causes,Other Causes (Please Specity),Female,45-59,95,Others Causes
11986,Andhra Pradesh,2010,Causes,Unemployment,Female,45-59,2,Financial issues
11987,Andhra Pradesh,2010,Causes,Bankruptcy or Sudden change in Economic,Male,45-59,157,Financial issues
11989,Andhra Pradesh,2010,Causes,Unemployment,Male,45-59,4,Financial issues
11990,Andhra Pradesh,2010,Causes,Family Problems,Male,45-59,392,Relation Troubles
11991,Andhra Pradesh,2010,Causes,Insanity/Mental Illness,Male,45-59,121,Sickness
11993,Andhra Pradesh,2010,Causes,Suspected/Illicit Relation,Male,45-59,3,Relation Troubles
11994,Andhra Pradesh,2010,Causes,Cancellation/Non-Settlement of Marriage,Male,45-59,2,Relation Troubles
11995,Andhra Pradesh,2010,Causes,Illness (Aids/STD),Male,45-59,32,Sickness
11996,Andhra Pradesh,2010,Causes,Love Affairs,Male,45-59,1,Relation Troubles
11997,Andhra Pradesh,2010,Causes,Fall in Social Reputation,Male,45-59,29,Pressures of Society
11998,Andhra Pradesh,2010,Causes,Ideological Causes/Hero Worshipping,Male,45-59,1,Pressures of Society
12000,Andhra Pradesh,2010,Causes,Cancer,Male,45-59,32,Sickness
12001,Andhra Pradesh,2010,Causes,Causes Not known,Male,45-59,262,Causes Not known
12002,Andhra Pradesh,2010,Causes,Professional/Career Problem,Male,45-59,17,Financial issues
12003,Andhra Pradesh,2010,Causes,Other Causes (Please Specity),Male,45-59,413,Others Causes
12005,Andhra Pradesh,2010,Causes,Poverty,Male,45-59,381,Financial issues
12006,Andhra Pradesh,2010,Causes,Paralysis,Male,45-59,28,Sickness
12007,Andhra Pradesh,2010,Causes,Property Dispute,Male,45-59,27,Financial issues
12009,Andhra Pradesh,2010,Causes,Other Prolonged Illness,Male,45-59,617,Sickness
12010,Andhra Pradesh,2010,Causes,Death of Dear Person,Male,45-59,12,Relation Troubles
12012,Andhra Pradesh,2010,Causes,Drug Abuse/Addiction,Male,45-59,35,Drug Abuse/Addiction
12013,Andhra Pradesh,2010,Causes,Bankruptcy or Sudden change in Economic,Female,60+,6,Financial issues
12015,Andhra Pradesh,2010,Causes,Fall in Social Reputation,Female,60+,1,Pressures of Society
12017,Andhra Pradesh,2010,Causes,Family Problems,Female,60+,53,Relation Troubles
12018,Andhra Pradesh,2010,Causes,Insanity/Mental Illness,Female,60+,37,Sickness
12020,Andhra Pradesh,2010,Causes,Paralysis,Female,60+,10,Sickness
12021,Andhra Pradesh,2010,Causes,Cancer,Female,60+,5,Sickness
12023,Andhra Pradesh,2010,Causes,Drug Abuse/Addiction,Female,60+,2,Drug Abuse/Addiction
12024,Andhra Pradesh,2010,Causes,Death of Dear Person,Female,60+,3,Relation Troubles
12025,Andhra Pradesh,2010,Causes,Cancellation/Non-Settlement of Marriage,Female,60+,1,Relation Troubles
12026,Andhra Pradesh,2010,Causes,Other Prolonged Illness,Female,60+,196,Sickness
12030,Andhra Pradesh,2010,Causes,Causes Not known,Female,60+,29,Causes Not known
12032,Andhra Pradesh,2010,Causes,Property Dispute,Female,60+,1,Financial issues
12033,Andhra Pradesh,2010,Causes,Poverty,Female,60+,8,Financial issues
12034,Andhra Pradesh,2010,Causes,Illness (Aids/STD),Female,60+,5,Sickness
12036,Andhra Pradesh,2010,Causes,Other Causes (Please Specity),Female,60+,72,Others Causes
12039,Andhra Pradesh,2010,Causes,Family Problems,Male,60+,74,Relation Troubles
12042,Andhra Pradesh,2010,Causes,Fall in Social Reputation,Male,60+,9,Pressures of Society
12043,Andhra Pradesh,2010,Causes,Other Prolonged Illness,Male,60+,335,Sickness
12046,Andhra Pradesh,2010,Causes,Bankruptcy or Sudden change in Economic,Male,60+,31,Financial issues
12048,Andhra Pradesh,2010,Causes,Paralysis,Male,60+,24,Sickness
12050,Andhra Pradesh,2010,Causes,Poverty,Male,60+,98,Financial issues
12051,Andhra Pradesh,2010,Causes,Cancer,Male,60+,4,Sickness
12052,Andhra Pradesh,2010,Causes,Causes Not known,Male,60+,106,Causes Not known
12053,Andhra Pradesh,2010,Causes,Drug Abuse/Addiction,Male,60+,7,Drug Abuse/Addiction
12055,Andhra Pradesh,2010,Causes,Professional/Career Problem,Male,60+,5,Financial issues
12056,Andhra Pradesh,2010,Causes,Insanity/Mental Illness,Male,60+,69,Sickness
12058,Andhra Pradesh,2010,Causes,Other Causes (Please Specity),Male,60+,122,Others Causes
12060,Andhra Pradesh,2010,Causes,Illness (Aids/STD),Male,60+,3,Sickness
12063,Andhra Pradesh,2010,Causes,Property Dispute,Male,60+,2,Financial issues
12064,Andhra Pradesh,2010,Causes,Death of Dear Person,Male,60+,5,Relation Troubles
12371,Andhra Pradesh,2011,Causes,Poverty,Female,0-14,5,Financial issues
12372,Andhra Pradesh,2011,Causes,Family Problems,Female,0-14,17,Relation Troubles
12374,Andhra Pradesh,2011,Causes,Failure in Examination,Female,0-14,12,Pressures of Society
12376,Andhra Pradesh,2011,Causes,Suspected/Illicit Relation,Female,0-14,2,Relation Troubles
12377,Andhra Pradesh,2011,Causes,Love Affairs,Female,0-14,15,Relation Troubles
12378,Andhra Pradesh,2011,Causes,Other Causes (Please Specity),Female,0-14,35,Others Causes
12380,Andhra Pradesh,2011,Causes,Death of Dear Person,Female,0-14,3,Relation Troubles
12382,Andhra Pradesh,2011,Causes,Bankruptcy or Sudden change in Economic,Female,0-14,1,Financial issues
12389,Andhra Pradesh,2011,Causes,Other Prolonged Illness,Female,0-14,20,Sickness
12393,Andhra Pradesh,2011,Causes,Causes Not known,Female,0-14,22,Causes Not known
12394,Andhra Pradesh,2011,Causes,Insanity/Mental Illness,Female,0-14,10,Sickness
12395,Andhra Pradesh,2011,Causes,Physical Abuse (Rape/Incest Etc.),Female,0-14,1,Physical Abuse (Rape/Incest Etc.)
12398,Andhra Pradesh,2011,Causes,Causes Not known,Male,0-14,22,Causes Not known
12399,Andhra Pradesh,2011,Causes,Other Causes (Please Specity),Male,0-14,35,Others Causes
12400,Andhra Pradesh,2011,Causes,Failure in Examination,Male,0-14,2,Pressures of Society
12401,Andhra Pradesh,2011,Causes,Insanity/Mental Illness,Male,0-14,8,Sickness
12403,Andhra Pradesh,2011,Causes,Love Affairs,Male,0-14,3,Relation Troubles
12406,Andhra Pradesh,2011,Causes,Drug Abuse/Addiction,Male,0-14,3,Drug Abuse/Addiction
12419,Andhra Pradesh,2011,Causes,Poverty,Male,0-14,12,Financial issues
12420,Andhra Pradesh,2011,Causes,Family Problems,Male,0-14,7,Relation Troubles
12421,Andhra Pradesh,2011,Causes,Other Prolonged Illness,Male,0-14,20,Sickness
12423,Andhra Pradesh,2011,Causes,Dowry Dispute,Female,15-29,201,Relation Troubles
12424,Andhra Pradesh,2011,Causes,Death of Dear Person,Female,15-29,11,Relation Troubles
12425,Andhra Pradesh,2011,Causes,Insanity/Mental Illness,Female,15-29,140,Sickness
12426,Andhra Pradesh,2011,Causes,Paralysis,Female,15-29,5,Sickness
12427,Andhra Pradesh,2011,Causes,Bankruptcy or Sudden change in Economic,Female,15-29,40,Financial issues
12428,Andhra Pradesh,2011,Causes,Divorce,Female,15-29,7,Relation Troubles
12429,Andhra Pradesh,2011,Causes,Family Problems,Female,15-29,470,Relation Troubles
12430,Andhra Pradesh,2011,Causes,Illegitimate Pregnancy,Female,15-29,15,Relation Troubles
12431,Andhra Pradesh,2011,Causes,Suspected/Illicit Relation,Female,15-29,62,Relation Troubles
12432,Andhra Pradesh,2011,Causes,Love Affairs,Female,15-29,142,Relation Troubles
12433,Andhra Pradesh,2011,Causes,Drug Abuse/Addiction,Female,15-29,5,Drug Abuse/Addiction
12434,Andhra Pradesh,2011,Causes,Failure in Examination,Female,15-29,79,Pressures of Society
12436,Andhra Pradesh,2011,Causes,Cancellation/Non-Settlement of Marriage,Female,15-29,33,Relation Troubles
12437,Andhra Pradesh,2011,Causes,Other Causes (Please Specity),Female,15-29,253,Others Causes
12438,Andhra Pradesh,2011,Causes,Other Prolonged Illness,Female,15-29,516,Sickness
12439,Andhra Pradesh,2011,Causes,Ideological Causes/Hero Worshipping,Female,15-29,1,Pressures of Society
12440,Andhra Pradesh,2011,Causes,Poverty,Female,15-29,102,Financial issues
12441,Andhra Pradesh,2011,Causes,Causes Not known,Female,15-29,121,Causes Not known
12442,Andhra Pradesh,2011,Causes,Not having Children(Barrenness/Impotency,Female,15-29,26,Relation Troubles
12443,Andhra Pradesh,2011,Causes,Professional/Career Problem,Female,15-29,7,Financial issues
12444,Andhra Pradesh,2011,Causes,Property Dispute,Female,15-29,7,Financial issues
12445,Andhra Pradesh,2011,Causes,Unemployment,Female,15-29,32,Financial issues
12446,Andhra Pradesh,2011,Causes,Physical Abuse (Rape/Incest Etc.),Female,15-29,2,Physical Abuse (Rape/Incest Etc.)
12447,Andhra Pradesh,2011,Causes,Fall in Social Reputation,Female,15-29,3,Pressures of Society
12448,Andhra Pradesh,2011,Causes,Illness (Aids/STD),Female,15-29,4,Sickness
12449,Andhra Pradesh,2011,Causes,Suspected/Illicit Relation,Male,15-29,19,Relation Troubles
12451,Andhra Pradesh,2011,Causes,Property Dispute,Male,15-29,24,Financial issues
12452,Andhra Pradesh,2011,Causes,Dowry Dispute,Male,15-29,21,Relation Troubles
12453,Andhra Pradesh,2011,Causes,Cancellation/Non-Settlement of Marriage,Male,15-29,69,Relation Troubles
12454,Andhra Pradesh,2011,Causes,Failure in Examination,Male,15-29,86,Pressures of Society
12455,Andhra Pradesh,2011,Causes,Fall in Social Reputation,Male,15-29,10,Pressures of Society
12456,Andhra Pradesh,2011,Causes,Other Prolonged Illness,Male,15-29,445,Sickness
12457,Andhra Pradesh,2011,Causes,Professional/Career Problem,Male,15-29,14,Financial issues
12458,Andhra Pradesh,2011,Causes,Unemployment,Male,15-29,64,Financial issues
12460,Andhra Pradesh,2011,Causes,Causes Not known,Male,15-29,267,Causes Not known
12461,Andhra Pradesh,2011,Causes,Insanity/Mental Illness,Male,15-29,173,Sickness
12462,Andhra Pradesh,2011,Causes,Not having Children(Barrenness/Impotency,Male,15-29,8,Relation Troubles
12463,Andhra Pradesh,2011,Causes,Family Problems,Male,15-29,599,Relation Troubles
12464,Andhra Pradesh,2011,Causes,Cancer,Male,15-29,4,Sickness
12465,Andhra Pradesh,2011,Causes,Paralysis,Male,15-29,4,Sickness
12466,Andhra Pradesh,2011,Causes,Drug Abuse/Addiction,Male,15-29,35,Drug Abuse/Addiction
12467,Andhra Pradesh,2011,Causes,Ideological Causes/Hero Worshipping,Male,15-29,1,Pressures of Society
12468,Andhra Pradesh,2011,Causes,Bankruptcy or Sudden change in Economic,Male,15-29,165,Financial issues
12469,Andhra Pradesh,2011,Causes,Illness (Aids/STD),Male,15-29,6,Sickness
12470,Andhra Pradesh,2011,Causes,Other Causes (Please Specity),Male,15-29,442,Others Causes
12471,Andhra Pradesh,2011,Causes,Poverty,Male,15-29,200,Financial issues
12472,Andhra Pradesh,2011,Causes,Death of Dear Person,Male,15-29,1,Relation Troubles
12473,Andhra Pradesh,2011,Causes,Divorce,Male,15-29,20,Relation Troubles
12474,Andhra Pradesh,2011,Causes,Love Affairs,Male,15-29,151,Relation Troubles
12475,Andhra Pradesh,2011,Causes,Illness (Aids/STD),Female,30-44,9,Sickness
12476,Andhra Pradesh,2011,Causes,Bankruptcy or Sudden change in Economic,Female,30-44,64,Financial issues
12477,Andhra Pradesh,2011,Causes,Dowry Dispute,Female,30-44,151,Relation Troubles
12478,Andhra Pradesh,2011,Causes,Drug Abuse/Addiction,Female,30-44,3,Drug Abuse/Addiction
12479,Andhra Pradesh,2011,Causes,Love Affairs,Female,30-44,8,Relation Troubles
12480,Andhra Pradesh,2011,Causes,Not having Children(Barrenness/Impotency,Female,30-44,25,Relation Troubles
12481,Andhra Pradesh,2011,Causes,Suspected/Illicit Relation,Female,30-44,15,Relation Troubles
12482,Andhra Pradesh,2011,Causes,Insanity/Mental Illness,Female,30-44,108,Sickness
12483,Andhra Pradesh,2011,Causes,Physical Abuse (Rape/Incest Etc.),Female,30-44,1,Physical Abuse (Rape/Incest Etc.)
12484,Andhra Pradesh,2011,Causes,Failure in Examination,Female,30-44,2,Pressures of Society
12485,Andhra Pradesh,2011,Causes,Paralysis,Female,30-44,7,Sickness
12486,Andhra Pradesh,2011,Causes,Divorce,Female,30-44,17,Relation Troubles
12487,Andhra Pradesh,2011,Causes,Unemployment,Female,30-44,21,Financial issues
12488,Andhra Pradesh,2011,Causes,Death of Dear Person,Female,30-44,2,Relation Troubles
12489,Andhra Pradesh,2011,Causes,Family Problems,Female,30-44,288,Relation Troubles
12490,Andhra Pradesh,2011,Causes,Illegitimate Pregnancy,Female,30-44,1,Relation Troubles
12491,Andhra Pradesh,2011,Causes,Causes Not known,Female,30-44,149,Causes Not known
12493,Andhra Pradesh,2011,Causes,Ideological Causes/Hero Worshipping,Female,30-44,2,Pressures of Society
12494,Andhra Pradesh,2011,Causes,Property Dispute,Female,30-44,33,Financial issues
12495,Andhra Pradesh,2011,Causes,Cancellation/Non-Settlement of Marriage,Female,30-44,14,Relation Troubles
12496,Andhra Pradesh,2011,Causes,Poverty,Female,30-44,119,Financial issues
12497,Andhra Pradesh,2011,Causes,Professional/Career Problem,Female,30-44,4,Financial issues
12498,Andhra Pradesh,2011,Causes,Cancer,Female,30-44,4,Sickness
12499,Andhra Pradesh,2011,Causes,Other Causes (Please Specity),Female,30-44,190,Others Causes
