,State,Year,Categories,Age_group,Total
2003,Chhattisgarh,2006,Physical Abuse (Rape/Incest Etc.),0-14,1
2004,Chhattisgarh,2006,Physical Abuse (Rape/Incest Etc.),15-29,17
2005,Chhattisgarh,2006,Physical Abuse (Rape/Incest Etc.),30-44,6
2006,Chhattisgarh,2006,Physical Abuse (Rape/Incest Etc.),45-59,3
2007,Chhattisgarh,2006,Physical Abuse (Rape/Incest Etc.),60+,1
2008,Chhattisgarh,2006,Pressures of Society,0-14,10
2009,Chhattisgarh,2006,Pressures of Society,15-29,33
2010,Chhattisgarh,2006,Pressures of Society,30-44,15
2011,Chhattisgarh,2006,Pressures of Society,45-59,4
2012,Chhattisgarh,2006,Pressures of Society,60+,1
2013,Chhattisgarh,2006,Relation Troubles,0-14,15
2014,Chhattisgarh,2006,Relation Troubles,15-29,444
2015,Chhattisgarh,2006,Relation Troubles,30-44,306
2016,Chhattisgarh,2006,Relation Troubles,45-59,112
2017,Chhattisgarh,2006,Relation Troubles,60+,26
2018,Chhattisgarh,2006,Sickness,0-14,14
2019,Chhattisgarh,2006,Sickness,15-29,236
2020,Chhattisgarh,2006,Sickness,30-44,276
2021,Chhattisgarh,2006,Sickness,45-59,198
2022,Chhattisgarh,2006,Sickness,60+,98
2023,Chhattisgarh,2007,Causes Not known,0-14,42
2024,Chhattisgarh,2007,Causes Not known,15-29,564
2025,Chhattisgarh,2007,Causes Not known,30-44,574
2026,Chhattisgarh,2007,Causes Not known,45-59,361
2027,Chhattisgarh,2007,Causes Not known,60+,127
2028,Chhattisgarh,2007,Drug Abuse/Addiction,15-29,28
2029,Chhattisgarh,2007,Drug Abuse/Addiction,30-44,52
2030,Chhattisgarh,2007,Drug Abuse/Addiction,45-59,33
2031,Chhattisgarh,2007,Drug Abuse/Addiction,60+,11
2032,Chhattisgarh,2007,Financial issues,0-14,2
2033,Chhattisgarh,2007,Financial issues,15-29,76
2034,Chhattisgarh,2007,Financial issues,30-44,47
2035,Chhattisgarh,2007,Financial issues,45-59,24
2036,Chhattisgarh,2007,Financial issues,60+,4
2037,Chhattisgarh,2007,Others Causes,0-14,65
2038,Chhattisgarh,2007,Others Causes,15-29,402
2039,Chhattisgarh,2007,Others Causes,30-44,368
2040,Chhattisgarh,2007,Others Causes,45-59,198
2041,Chhattisgarh,2007,Others Causes,60+,108
2042,Chhattisgarh,2007,Physical Abuse (Rape/Incest Etc.),15-29,24
2043,Chhattisgarh,2007,Physical Abuse (Rape/Incest Etc.),30-44,12
2044,Chhattisgarh,2007,Physical Abuse (Rape/Incest Etc.),45-59,4
2045,Chhattisgarh,2007,Physical Abuse (Rape/Incest Etc.),60+,1
2046,Chhattisgarh,2007,Pressures of Society,0-14,5
2047,Chhattisgarh,2007,Pressures of Society,15-29,40
2048,Chhattisgarh,2007,Pressures of Society,30-44,32
2049,Chhattisgarh,2007,Pressures of Society,45-59,2
2050,Chhattisgarh,2007,Pressures of Society,60+,2
2051,Chhattisgarh,2007,Relation Troubles,0-14,14
2052,Chhattisgarh,2007,Relation Troubles,15-29,407
2053,Chhattisgarh,2007,Relation Troubles,30-44,299
2054,Chhattisgarh,2007,Relation Troubles,45-59,119
2055,Chhattisgarh,2007,Relation Troubles,60+,30
2056,Chhattisgarh,2007,Sickness,0-14,9
2057,Chhattisgarh,2007,Sickness,15-29,237
2058,Chhattisgarh,2007,Sickness,30-44,215
2059,Chhattisgarh,2007,Sickness,45-59,179
2060,Chhattisgarh,2007,Sickness,60+,122
2061,Chhattisgarh,2008,Causes Not known,0-14,79
2062,Chhattisgarh,2008,Causes Not known,15-29,643
2063,Chhattisgarh,2008,Causes Not known,30-44,560
2064,Chhattisgarh,2008,Causes Not known,45-59,263
2065,Chhattisgarh,2008,Causes Not known,60+,68
2066,Chhattisgarh,2008,Drug Abuse/Addiction,15-29,45
2067,Chhattisgarh,2008,Drug Abuse/Addiction,30-44,60
2068,Chhattisgarh,2008,Drug Abuse/Addiction,45-59,47
2069,Chhattisgarh,2008,Drug Abuse/Addiction,60+,13
2070,Chhattisgarh,2008,Financial issues,15-29,47
2071,Chhattisgarh,2008,Financial issues,30-44,43
2072,Chhattisgarh,2008,Financial issues,45-59,26
2073,Chhattisgarh,2008,Financial issues,60+,3
2074,Chhattisgarh,2008,Others Causes,0-14,31
2075,Chhattisgarh,2008,Others Causes,15-29,246
2076,Chhattisgarh,2008,Others Causes,30-44,234
2077,Chhattisgarh,2008,Others Causes,45-59,181
2078,Chhattisgarh,2008,Others Causes,60+,37
2079,Chhattisgarh,2008,Physical Abuse (Rape/Incest Etc.),15-29,33
2080,Chhattisgarh,2008,Physical Abuse (Rape/Incest Etc.),30-44,17
2081,Chhattisgarh,2008,Physical Abuse (Rape/Incest Etc.),45-59,5
2082,Chhattisgarh,2008,Pressures of Society,0-14,8
2083,Chhattisgarh,2008,Pressures of Society,15-29,57
2084,Chhattisgarh,2008,Pressures of Society,30-44,16
2085,Chhattisgarh,2008,Pressures of Society,45-59,11
2086,Chhattisgarh,2008,Pressures of Society,60+,1
2087,Chhattisgarh,2008,Relation Troubles,0-14,14
2088,Chhattisgarh,2008,Relation Troubles,15-29,602
2089,Chhattisgarh,2008,Relation Troubles,30-44,406
2090,Chhattisgarh,2008,Relation Troubles,45-59,176
2091,Chhattisgarh,2008,Relation Troubles,60+,58
2092,Chhattisgarh,2008,Sickness,0-14,15
2093,Chhattisgarh,2008,Sickness,15-29,306
2094,Chhattisgarh,2008,Sickness,30-44,298
2095,Chhattisgarh,2008,Sickness,45-59,194
2096,Chhattisgarh,2008,Sickness,60+,102
2097,Chhattisgarh,2009,Causes Not known,0-14,34
2098,Chhattisgarh,2009,Causes Not known,15-29,666
2099,Chhattisgarh,2009,Causes Not known,30-44,617
2100,Chhattisgarh,2009,Causes Not known,45-59,435
2101,Chhattisgarh,2009,Causes Not known,60+,164
2102,Chhattisgarh,2009,Drug Abuse/Addiction,15-29,40
2103,Chhattisgarh,2009,Drug Abuse/Addiction,30-44,83
2104,Chhattisgarh,2009,Drug Abuse/Addiction,45-59,45
2105,Chhattisgarh,2009,Drug Abuse/Addiction,60+,14
2106,Chhattisgarh,2009,Financial issues,15-29,28
2107,Chhattisgarh,2009,Financial issues,30-44,47
2108,Chhattisgarh,2009,Financial issues,45-59,22
2109,Chhattisgarh,2009,Financial issues,60+,4
2110,Chhattisgarh,2009,Others Causes,0-14,106
2111,Chhattisgarh,2009,Others Causes,15-29,512
2112,Chhattisgarh,2009,Others Causes,30-44,522
2113,Chhattisgarh,2009,Others Causes,45-59,333
2114,Chhattisgarh,2009,Others Causes,60+,127
2115,Chhattisgarh,2009,Physical Abuse (Rape/Incest Etc.),0-14,1
2116,Chhattisgarh,2009,Physical Abuse (Rape/Incest Etc.),15-29,46
2117,Chhattisgarh,2009,Physical Abuse (Rape/Incest Etc.),30-44,6
2118,Chhattisgarh,2009,Physical Abuse (Rape/Incest Etc.),45-59,5
2119,Chhattisgarh,2009,Physical Abuse (Rape/Incest Etc.),60+,5
2120,Chhattisgarh,2009,Pressures of Society,0-14,6
2121,Chhattisgarh,2009,Pressures of Society,15-29,74
2122,Chhattisgarh,2009,Pressures of Society,30-44,42
2123,Chhattisgarh,2009,Pressures of Society,45-59,17
2124,Chhattisgarh,2009,Pressures of Society,60+,5
2125,Chhattisgarh,2009,Relation Troubles,0-14,12
2126,Chhattisgarh,2009,Relation Troubles,15-29,439
2127,Chhattisgarh,2009,Relation Troubles,30-44,284
2128,Chhattisgarh,2009,Relation Troubles,45-59,120
2129,Chhattisgarh,2009,Relation Troubles,60+,22
2130,Chhattisgarh,2009,Sickness,0-14,21
2131,Chhattisgarh,2009,Sickness,15-29,293
2132,Chhattisgarh,2009,Sickness,30-44,328
2133,Chhattisgarh,2009,Sickness,45-59,251
2134,Chhattisgarh,2009,Sickness,60+,107
2135,Chhattisgarh,2010,Causes Not known,0-14,62
2136,Chhattisgarh,2010,Causes Not known,15-29,771
2137,Chhattisgarh,2010,Causes Not known,30-44,823
2138,Chhattisgarh,2010,Causes Not known,45-59,546
2139,Chhattisgarh,2010,Causes Not known,60+,219
2140,Chhattisgarh,2010,Drug Abuse/Addiction,0-14,1
2141,Chhattisgarh,2010,Drug Abuse/Addiction,15-29,48
2142,Chhattisgarh,2010,Drug Abuse/Addiction,30-44,94
2143,Chhattisgarh,2010,Drug Abuse/Addiction,45-59,49
2144,Chhattisgarh,2010,Drug Abuse/Addiction,60+,11
2145,Chhattisgarh,2010,Financial issues,15-29,34
2146,Chhattisgarh,2010,Financial issues,30-44,61
2147,Chhattisgarh,2010,Financial issues,45-59,19
2148,Chhattisgarh,2010,Financial issues,60+,10
2149,Chhattisgarh,2010,Others Causes,0-14,74
2150,Chhattisgarh,2010,Others Causes,15-29,546
2151,Chhattisgarh,2010,Others Causes,30-44,549
2152,Chhattisgarh,2010,Others Causes,45-59,341
2153,Chhattisgarh,2010,Others Causes,60+,107
2154,Chhattisgarh,2010,Physical Abuse (Rape/Incest Etc.),0-14,3
2155,Chhattisgarh,2010,Physical Abuse (Rape/Incest Etc.),15-29,23
2156,Chhattisgarh,2010,Physical Abuse (Rape/Incest Etc.),30-44,20
2157,Chhattisgarh,2010,Physical Abuse (Rape/Incest Etc.),45-59,18
2158,Chhattisgarh,2010,Physical Abuse (Rape/Incest Etc.),60+,2
2159,Chhattisgarh,2010,Pressures of Society,0-14,3
2160,Chhattisgarh,2010,Pressures of Society,15-29,49
2161,Chhattisgarh,2010,Pressures of Society,30-44,17
2162,Chhattisgarh,2010,Pressures of Society,45-59,8
2163,Chhattisgarh,2010,Pressures of Society,60+,2
2164,Chhattisgarh,2010,Relation Troubles,0-14,13
2165,Chhattisgarh,2010,Relation Troubles,15-29,507
2166,Chhattisgarh,2010,Relation Troubles,30-44,340
2167,Chhattisgarh,2010,Relation Troubles,45-59,160
2168,Chhattisgarh,2010,Relation Troubles,60+,34
2169,Chhattisgarh,2010,Sickness,0-14,12
2170,Chhattisgarh,2010,Sickness,15-29,268
2171,Chhattisgarh,2010,Sickness,30-44,281
2172,Chhattisgarh,2010,Sickness,45-59,253
2173,Chhattisgarh,2010,Sickness,60+,144
2174,Chhattisgarh,2011,Causes Not known,0-14,54
2175,Chhattisgarh,2011,Causes Not known,15-29,617
2176,Chhattisgarh,2011,Causes Not known,30-44,612
2177,Chhattisgarh,2011,Causes Not known,45-59,442
2178,Chhattisgarh,2011,Causes Not known,60+,155
2179,Chhattisgarh,2011,Drug Abuse/Addiction,0-14,1
2180,Chhattisgarh,2011,Drug Abuse/Addiction,15-29,60
2181,Chhattisgarh,2011,Drug Abuse/Addiction,30-44,102
2182,Chhattisgarh,2011,Drug Abuse/Addiction,45-59,89
2183,Chhattisgarh,2011,Drug Abuse/Addiction,60+,13
2184,Chhattisgarh,2011,Financial issues,15-29,34
2185,Chhattisgarh,2011,Financial issues,30-44,29
2186,Chhattisgarh,2011,Financial issues,45-59,23
2187,Chhattisgarh,2011,Financial issues,60+,4
2188,Chhattisgarh,2011,Others Causes,0-14,106
2189,Chhattisgarh,2011,Others Causes,15-29,846
2190,Chhattisgarh,2011,Others Causes,30-44,706
2191,Chhattisgarh,2011,Others Causes,45-59,491
2192,Chhattisgarh,2011,Others Causes,60+,196
2193,Chhattisgarh,2011,Physical Abuse (Rape/Incest Etc.),15-29,19
2194,Chhattisgarh,2011,Physical Abuse (Rape/Incest Etc.),30-44,8
2195,Chhattisgarh,2011,Physical Abuse (Rape/Incest Etc.),45-59,1
2196,Chhattisgarh,2011,Pressures of Society,0-14,7
2197,Chhattisgarh,2011,Pressures of Society,15-29,78
2198,Chhattisgarh,2011,Pressures of Society,30-44,22
2199,Chhattisgarh,2011,Pressures of Society,45-59,11
2200,Chhattisgarh,2011,Relation Troubles,0-14,9
2201,Chhattisgarh,2011,Relation Troubles,15-29,514
2202,Chhattisgarh,2011,Relation Troubles,30-44,353
2203,Chhattisgarh,2011,Relation Troubles,45-59,176
2204,Chhattisgarh,2011,Relation Troubles,60+,40
2205,Chhattisgarh,2011,Sickness,0-14,11
2206,Chhattisgarh,2011,Sickness,15-29,248
2207,Chhattisgarh,2011,Sickness,30-44,307
2208,Chhattisgarh,2011,Sickness,45-59,224
2209,Chhattisgarh,2011,Sickness,60+,148
2210,Chhattisgarh,2012,Causes Not known,0-14,50
2211,Chhattisgarh,2012,Causes Not known,15-29,611
2212,Chhattisgarh,2012,Causes Not known,30-44,582
2213,Chhattisgarh,2012,Causes Not known,45-59,384
2214,Chhattisgarh,2012,Causes Not known,60+,126
2215,Chhattisgarh,2012,Drug Abuse/Addiction,15-29,60
2216,Chhattisgarh,2012,Drug Abuse/Addiction,30-44,106
2217,Chhattisgarh,2012,Drug Abuse/Addiction,45-59,55
2218,Chhattisgarh,2012,Drug Abuse/Addiction,60+,19
2219,Chhattisgarh,2012,Financial issues,15-29,23
2220,Chhattisgarh,2012,Financial issues,30-44,24
2221,Chhattisgarh,2012,Financial issues,45-59,17
2222,Chhattisgarh,2012,Financial issues,60+,4
2223,Chhattisgarh,2012,Others Causes,0-14,83
2224,Chhattisgarh,2012,Others Causes,15-29,672
2225,Chhattisgarh,2012,Others Causes,30-44,531
2226,Chhattisgarh,2012,Others Causes,45-59,331
2227,Chhattisgarh,2012,Others Causes,60+,145
2228,Chhattisgarh,2012,Physical Abuse (Rape/Incest Etc.),15-29,12
2229,Chhattisgarh,2012,Physical Abuse (Rape/Incest Etc.),30-44,4
2230,Chhattisgarh,2012,Physical Abuse (Rape/Incest Etc.),45-59,1
2231,Chhattisgarh,2012,Physical Abuse (Rape/Incest Etc.),60+,1
2232,Chhattisgarh,2012,Pressures of Society,0-14,4
2233,Chhattisgarh,2012,Pressures of Society,15-29,55
2234,Chhattisgarh,2012,Pressures of Society,30-44,5
2235,Chhattisgarh,2012,Pressures of Society,45-59,2
2236,Chhattisgarh,2012,Pressures of Society,60+,1
2237,Chhattisgarh,2012,Relation Troubles,0-14,17
2238,Chhattisgarh,2012,Relation Troubles,15-29,431
2239,Chhattisgarh,2012,Relation Troubles,30-44,323
2240,Chhattisgarh,2012,Relation Troubles,45-59,155
2241,Chhattisgarh,2012,Relation Troubles,60+,45
2242,Chhattisgarh,2012,Sickness,0-14,7
2243,Chhattisgarh,2012,Sickness,15-29,206
2244,Chhattisgarh,2012,Sickness,30-44,262
2245,Chhattisgarh,2012,Sickness,45-59,206
2246,Chhattisgarh,2012,Sickness,60+,94
2247,Dadra and Nagar Haveli,2001,Causes Not known,15-29,3
2248,Dadra and Nagar Haveli,2001,Causes Not known,45-59,2
2249,Dadra and Nagar Haveli,2001,Causes Not known,60+,2
2250,Dadra and Nagar Haveli,2001,Financial issues,15-29,2
2251,Dadra and Nagar Haveli,2001,Financial issues,30-44,2
2252,Dadra and Nagar Haveli,2001,Financial issues,45-59,1
2253,Dadra and Nagar Haveli,2001,Others Causes,30-44,1
2254,Dadra and Nagar Haveli,2001,Others Causes,45-59,1
2255,Dadra and Nagar Haveli,2001,Pressures of Society,30-44,1
2256,Dadra and Nagar Haveli,2001,Relation Troubles,0-14,1
2257,Dadra and Nagar Haveli,2001,Relation Troubles,15-29,12
2258,Dadra and Nagar Haveli,2001,Relation Troubles,30-44,8
2259,Dadra and Nagar Haveli,2001,Relation Troubles,45-59,3
2260,Dadra and Nagar Haveli,2001,Relation Troubles,60+,4
2261,Dadra and Nagar Haveli,2001,Sickness,15-29,2
2262,Dadra and Nagar Haveli,2001,Sickness,30-44,2
2263,Dadra and Nagar Haveli,2001,Sickness,45-59,1
2264,Dadra and Nagar Haveli,2001,Sickness,60+,2
2265,Dadra and Nagar Haveli,2002,Causes Not known,15-29,3
2266,Dadra and Nagar Haveli,2002,Causes Not known,45-59,2
2267,Dadra and Nagar Haveli,2002,Others Causes,15-29,6
2268,Dadra and Nagar Haveli,2002,Others Causes,30-44,5
2269,Dadra and Nagar Haveli,2002,Others Causes,45-59,4
2270,Dadra and Nagar Haveli,2002,Others Causes,60+,4
2271,Dadra and Nagar Haveli,2002,Pressures of Society,0-14,1
2272,Dadra and Nagar Haveli,2002,Pressures of Society,15-29,2
2273,Dadra and Nagar Haveli,2002,Pressures of Society,30-44,1
2274,Dadra and Nagar Haveli,2002,Relation Troubles,15-29,7
2275,Dadra and Nagar Haveli,2002,Relation Troubles,30-44,1
2276,Dadra and Nagar Haveli,2002,Relation Troubles,45-59,1
2277,Dadra and Nagar Haveli,2002,Sickness,15-29,2
2278,Dadra and Nagar Haveli,2002,Sickness,30-44,4
2279,Dadra and Nagar Haveli,2002,Sickness,45-59,4
2280,Dadra and Nagar Haveli,2002,Sickness,60+,3
2281,Dadra and Nagar Haveli,2003,Causes Not known,15-29,1
2282,Dadra and Nagar Haveli,2003,Causes Not known,30-44,2
2283,Dadra and Nagar Haveli,2003,Causes Not known,45-59,4
2284,Dadra and Nagar Haveli,2003,Others Causes,0-14,1
2285,Dadra and Nagar Haveli,2003,Others Causes,15-29,5
2286,Dadra and Nagar Haveli,2003,Others Causes,30-44,4
2287,Dadra and Nagar Haveli,2003,Others Causes,45-59,4
2288,Dadra and Nagar Haveli,2003,Others Causes,60+,1
2289,Dadra and Nagar Haveli,2003,Pressures of Society,0-14,1
2290,Dadra and Nagar Haveli,2003,Pressures of Society,15-29,1
2291,Dadra and Nagar Haveli,2003,Relation Troubles,15-29,7
2292,Dadra and Nagar Haveli,2003,Relation Troubles,30-44,9
2293,Dadra and Nagar Haveli,2003,Relation Troubles,45-59,7
2294,Dadra and Nagar Haveli,2003,Relation Troubles,60+,4
2295,Dadra and Nagar Haveli,2003,Sickness,45-59,1
2296,Dadra and Nagar Haveli,2004,Drug Abuse/Addiction,30-44,2
2297,Dadra and Nagar Haveli,2004,Drug Abuse/Addiction,45-59,1
2298,Dadra and Nagar Haveli,2004,Drug Abuse/Addiction,60+,1
2299,Dadra and Nagar Haveli,2004,Financial issues,30-44,2
2300,Dadra and Nagar Haveli,2004,Others Causes,15-29,6
2301,Dadra and Nagar Haveli,2004,Others Causes,30-44,2
2302,Dadra and Nagar Haveli,2004,Others Causes,45-59,2
2303,Dadra and Nagar Haveli,2004,Others Causes,60+,1
2304,Dadra and Nagar Haveli,2004,Relation Troubles,15-29,6
2305,Dadra and Nagar Haveli,2004,Relation Troubles,30-44,2
2306,Dadra and Nagar Haveli,2004,Sickness,15-29,7
2307,Dadra and Nagar Haveli,2004,Sickness,30-44,3
2308,Dadra and Nagar Haveli,2004,Sickness,45-59,2
2309,Dadra and Nagar Haveli,2004,Sickness,60+,2
2310,Dadra and Nagar Haveli,2005,Drug Abuse/Addiction,45-59,3
2311,Dadra and Nagar Haveli,2005,Financial issues,15-29,2
2312,Dadra and Nagar Haveli,2005,Financial issues,30-44,1
2313,Dadra and Nagar Haveli,2005,Others Causes,15-29,13
2314,Dadra and Nagar Haveli,2005,Others Causes,30-44,7
2315,Dadra and Nagar Haveli,2005,Others Causes,45-59,4
2316,Dadra and Nagar Haveli,2005,Others Causes,60+,2
2317,Dadra and Nagar Haveli,2005,Relation Troubles,15-29,9
2318,Dadra and Nagar Haveli,2005,Relation Troubles,30-44,5
2319,Dadra and Nagar Haveli,2005,Relation Troubles,45-59,2
2320,Dadra and Nagar Haveli,2005,Relation Troubles,60+,1
2321,Dadra and Nagar Haveli,2005,Sickness,15-29,4
2322,Dadra and Nagar Haveli,2005,Sickness,30-44,8
2323,Dadra and Nagar Haveli,2005,Sickness,45-59,4
2324,Dadra and Nagar Haveli,2005,Sickness,60+,4
2325,Dadra and Nagar Haveli,2006,Drug Abuse/Addiction,15-29,2
2326,Dadra and Nagar Haveli,2006,Drug Abuse/Addiction,30-44,3
2327,Dadra and Nagar Haveli,2006,Drug Abuse/Addiction,45-59,1
2328,Dadra and Nagar Haveli,2006,Drug Abuse/Addiction,60+,2
2329,Dadra and Nagar Haveli,2006,Financial issues,30-44,1
2330,Dadra and Nagar Haveli,2006,Financial issues,45-59,1
2331,Dadra and Nagar Haveli,2006,Others Causes,15-29,5
2332,Dadra and Nagar Haveli,2006,Others Causes,30-44,3
2333,Dadra and Nagar Haveli,2006,Others Causes,45-59,1
2334,Dadra and Nagar Haveli,2006,Others Causes,60+,6
2335,Dadra and Nagar Haveli,2006,Relation Troubles,15-29,9
2336,Dadra and Nagar Haveli,2006,Relation Troubles,30-44,2
2337,Dadra and Nagar Haveli,2006,Relation Troubles,45-59,2
2338,Dadra and Nagar Haveli,2006,Sickness,0-14,1
2339,Dadra and Nagar Haveli,2006,Sickness,30-44,2
2340,Dadra and Nagar Haveli,2006,Sickness,60+,1
2341,Dadra and Nagar Haveli,2007,Causes Not known,15-29,3
2342,Dadra and Nagar Haveli,2007,Causes Not known,30-44,1
2343,Dadra and Nagar Haveli,2007,Causes Not known,45-59,3
2344,Dadra and Nagar Haveli,2007,Causes Not known,60+,5
2345,Dadra and Nagar Haveli,2007,Drug Abuse/Addiction,30-44,2
2346,Dadra and Nagar Haveli,2007,Drug Abuse/Addiction,45-59,2
2347,Dadra and Nagar Haveli,2007,Drug Abuse/Addiction,60+,1
2348,Dadra and Nagar Haveli,2007,Financial issues,30-44,1
2349,Dadra and Nagar Haveli,2007,Physical Abuse (Rape/Incest Etc.),15-29,6
2350,Dadra and Nagar Haveli,2007,Physical Abuse (Rape/Incest Etc.),30-44,2
2351,Dadra and Nagar Haveli,2007,Physical Abuse (Rape/Incest Etc.),45-59,1
2352,Dadra and Nagar Haveli,2007,Pressures of Society,30-44,1
2353,Dadra and Nagar Haveli,2007,Relation Troubles,15-29,24
2354,Dadra and Nagar Haveli,2007,Relation Troubles,30-44,14
2355,Dadra and Nagar Haveli,2007,Relation Troubles,45-59,3
2356,Dadra and Nagar Haveli,2007,Sickness,15-29,1
2357,Dadra and Nagar Haveli,2007,Sickness,30-44,1
2358,Dadra and Nagar Haveli,2007,Sickness,45-59,2
2359,Dadra and Nagar Haveli,2007,Sickness,60+,3
2360,Dadra and Nagar Haveli,2008,Causes Not known,15-29,1
2361,Dadra and Nagar Haveli,2008,Drug Abuse/Addiction,30-44,3
2362,Dadra and Nagar Haveli,2008,Drug Abuse/Addiction,45-59,1
2363,Dadra and Nagar Haveli,2008,Financial issues,15-29,2
2364,Dadra and Nagar Haveli,2008,Financial issues,30-44,2
2365,Dadra and Nagar Haveli,2008,Others Causes,15-29,3
2366,Dadra and Nagar Haveli,2008,Others Causes,30-44,1
2367,Dadra and Nagar Haveli,2008,Others Causes,45-59,2
2368,Dadra and Nagar Haveli,2008,Relation Troubles,0-14,1
2369,Dadra and Nagar Haveli,2008,Relation Troubles,15-29,15
2370,Dadra and Nagar Haveli,2008,Relation Troubles,30-44,7
2371,Dadra and Nagar Haveli,2008,Relation Troubles,45-59,5
2372,Dadra and Nagar Haveli,2008,Relation Troubles,60+,2
2373,Dadra and Nagar Haveli,2008,Sickness,15-29,5
2374,Dadra and Nagar Haveli,2008,Sickness,30-44,4
2375,Dadra and Nagar Haveli,2008,Sickness,45-59,6
2376,Dadra and Nagar Haveli,2009,Causes Not known,15-29,3
2377,Dadra and Nagar Haveli,2009,Causes Not known,30-44,1
2378,Dadra and Nagar Haveli,2009,Causes Not known,45-59,1
2379,Dadra and Nagar Haveli,2009,Causes Not known,60+,2
2380,Dadra and Nagar Haveli,2009,Financial issues,30-44,1
2381,Dadra and Nagar Haveli,2009,Financial issues,45-59,2
2382,Dadra and Nagar Haveli,2009,Others Causes,15-29,2
2383,Dadra and Nagar Haveli,2009,Others Causes,30-44,2
2384,Dadra and Nagar Haveli,2009,Others Causes,45-59,5
2385,Dadra and Nagar Haveli,2009,Others Causes,60+,1
2386,Dadra and Nagar Haveli,2009,Relation Troubles,15-29,19
2387,Dadra and Nagar Haveli,2009,Relation Troubles,30-44,5
2388,Dadra and Nagar Haveli,2009,Relation Troubles,45-59,1
2389,Dadra and Nagar Haveli,2009,Relation Troubles,60+,3
2390,Dadra and Nagar Haveli,2009,Sickness,30-44,5
2391,Dadra and Nagar Haveli,2009,Sickness,60+,3
2392,Dadra and Nagar Haveli,2010,Causes Not known,15-29,3
2393,Dadra and Nagar Haveli,2010,Causes Not known,30-44,5
2394,Dadra and Nagar Haveli,2010,Causes Not known,45-59,2
2395,Dadra and Nagar Haveli,2010,Causes Not known,60+,1
2396,Dadra and Nagar Haveli,2010,Drug Abuse/Addiction,30-44,2
2397,Dadra and Nagar Haveli,2010,Drug Abuse/Addiction,45-59,4
2398,Dadra and Nagar Haveli,2010,Others Causes,15-29,4
2399,Dadra and Nagar Haveli,2010,Pressures of Society,15-29,1
2400,Dadra and Nagar Haveli,2010,Pressures of Society,30-44,1
2401,Dadra and Nagar Haveli,2010,Relation Troubles,15-29,18
2402,Dadra and Nagar Haveli,2010,Relation Troubles,30-44,4
2403,Dadra and Nagar Haveli,2010,Relation Troubles,45-59,2
2404,Dadra and Nagar Haveli,2010,Sickness,15-29,6
2405,Dadra and Nagar Haveli,2010,Sickness,30-44,4
2406,Dadra and Nagar Haveli,2010,Sickness,45-59,2
2407,Dadra and Nagar Haveli,2010,Sickness,60+,4
2408,Dadra and Nagar Haveli,2011,Causes Not known,15-29,7
2409,Dadra and Nagar Haveli,2011,Causes Not known,30-44,1
2410,Dadra and Nagar Haveli,2011,Causes Not known,45-59,1
2411,Dadra and Nagar Haveli,2011,Drug Abuse/Addiction,15-29,1
2412,Dadra and Nagar Haveli,2011,Drug Abuse/Addiction,30-44,4
2413,Dadra and Nagar Haveli,2011,Drug Abuse/Addiction,45-59,5
2414,Dadra and Nagar Haveli,2011,Drug Abuse/Addiction,60+,1
2415,Dadra and Nagar Haveli,2011,Financial issues,15-29,1
2416,Dadra and Nagar Haveli,2011,Others Causes,15-29,7
2417,Dadra and Nagar Haveli,2011,Others Causes,30-44,2
2418,Dadra and Nagar Haveli,2011,Others Causes,45-59,3
2419,Dadra and Nagar Haveli,2011,Pressures of Society,15-29,1
2420,Dadra and Nagar Haveli,2011,Relation Troubles,15-29,16
2421,Dadra and Nagar Haveli,2011,Relation Troubles,30-44,4
2422,Dadra and Nagar Haveli,2011,Relation Troubles,45-59,2
2423,Dadra and Nagar Haveli,2011,Sickness,15-29,3
2424,Dadra and Nagar Haveli,2011,Sickness,30-44,2
2425,Dadra and Nagar Haveli,2011,Sickness,45-59,1
2426,Dadra and Nagar Haveli,2011,Sickness,60+,1
2427,Dadra and Nagar Haveli,2012,Causes Not known,15-29,7
2428,Dadra and Nagar Haveli,2012,Causes Not known,30-44,7
2429,Dadra and Nagar Haveli,2012,Causes Not known,45-59,1
2430,Dadra and Nagar Haveli,2012,Others Causes,15-29,3
2431,Dadra and Nagar Haveli,2012,Others Causes,30-44,2
2432,Dadra and Nagar Haveli,2012,Others Causes,60+,1
2433,Dadra and Nagar Haveli,2012,Pressures of Society,15-29,2
2434,Dadra and Nagar Haveli,2012,Relation Troubles,15-29,18
2435,Dadra and Nagar Haveli,2012,Relation Troubles,30-44,5
2436,Dadra and Nagar Haveli,2012,Relation Troubles,45-59,3
2437,Dadra and Nagar Haveli,2012,Relation Troubles,60+,1
2438,Dadra and Nagar Haveli,2012,Sickness,15-29,5
2439,Dadra and Nagar Haveli,2012,Sickness,30-44,4
2440,Dadra and Nagar Haveli,2012,Sickness,45-59,3
2441,Dadra and Nagar Haveli,2012,Sickness,60+,4
2442,Daman & Diu,2001,Others Causes,15-29,5
2443,Daman & Diu,2001,Others Causes,30-44,6
2444,Daman & Diu,2001,Relation Troubles,15-29,3
2445,Daman & Diu,2002,Causes Not known,15-29,3
2446,Daman & Diu,2002,Causes Not known,30-44,8
2447,Daman & Diu,2002,Causes Not known,60+,1
2448,Daman & Diu,2002,Others Causes,30-44,1
2449,Daman & Diu,2002,Relation Troubles,15-29,1
2450,Daman & Diu,2002,Relation Troubles,30-44,1
